CutId,ItemId,Item,PieceIndex,Piece,MaterialGroup,Material,CutLength,Trim,Optimize
122,15,Bed Room 1 Door,1,Top Jam,1,H-1x5,33.5,0.75,0
123,15,Bed Room 1 Door,2,Side Jam,1,H-1x5,83.0625,0.75,0
124,15,Bed Room 1 Door,3,Side Jam,1,H-1x5,83.0625,0.75,0
125,15,Bed Room 1 Door,4,Top Casing,2,H-1x3,37.5,0.75,1
126,15,Bed Room 1 Door,5,Top Casing,2,H-1x3,37.5,0.75,1
127,15,Bed Room 1 Door,6,Side Casing,2,H-1x3,83.25,0.75,1
128,15,Bed Room 1 Door,7,Side Casing,2,H-1x3,83.25,0.75,1
129,15,Bed Room 1 Door,8,Side Casing,2,H-1x3,83.25,0.75,1
130,15,Bed Room 1 Door,9,Side Casing,2,H-1x3,83.25,0.75,1
131,15,Bed Room 1 Door,10,Fillet,3,H-1x1/2,38.375,0.75,1
132,15,Bed Room 1 Door,11,Fillet,3,H-1x1/2,38.375,0.75,1

133,16,Bed Room 2 Door,1,Top Jam,1,H-1x5,33.5,0.75,0
134,16,Bed Room 2 Door,2,Side Jam,1,H-1x5,83.0625,0.75,0
135,16,Bed Room 2 Door,3,Side Jam,1,H-1x5,83.0625,0.75,0
136,16,Bed Room 2 Door,4,Top Casing,2,H-1x3,37.5,0.75,1
137,16,Bed Room 2 Door,5,Top Casing,2,H-1x3,37.5,0.75,1
138,16,Bed Room 2 Door,6,Side Casing,2,H-1x3,83.25,0.75,1
139,16,Bed Room 2 Door,7,Side Casing,2,H-1x3,83.25,0.75,1
140,16,Bed Room 2 Door,8,Side Casing,2,H-1x3,83.25,0.75,1
141,16,Bed Room 2 Door,9,Side Casing,2,H-1x3,83.25,0.75,1
142,16,Bed Room 2 Door,10,Fillet,3,H-1x1/2,38.375,0.75,1
143,16,Bed Room 2 Door,11,Fillet,3,H-1x1/2,38.375,0.75,1

144,17,Bed Room 3 Door,1,Top Jam,1,H-1x5,33.5,0.75,0
145,17,Bed Room 3 Door,2,Side Jam,1,H-1x5,83.0625,0.75,0
146,17,Bed Room 3 Door,3,Side Jam,1,H-1x5,83.0625,0.75,0
147,17,Bed Room 3 Door,4,Top Casing,2,H-1x3,37.5,0.75,1
148,17,Bed Room 3 Door,5,Top Casing,2,H-1x3,37.5,0.75,1
149,17,Bed Room 3 Door,6,Side Casing,2,H-1x3,83.25,0.75,1
150,17,Bed Room 3 Door,7,Side Casing,2,H-1x3,83.25,0.75,1
151,17,Bed Room 3 Door,8,Side Casing,2,H-1x3,83.25,0.75,1
152,17,Bed Room 3 Door,9,Side Casing,2,H-1x3,83.25,0.75,1
153,17,Bed Room 3 Door,10,Fillet,3,H-1x1/2,38.375,0.75,1
154,17,Bed Room 3 Door,11,Fillet,3,H-1x1/2,38.375,0.75,1

155,18,Hall Bath Door,1,Top Jam,1,H-1x5,33.5,0.75,0
156,18,Hall Bath Door,2,Side Jam,1,H-1x5,83.0625,0.75,0
157,18,Hall Bath Door,3,Side Jam,1,H-1x5,83.0625,0.75,0
158,18,Hall Bath Door,4,Top Casing,2,H-1x3,37.5,0.75,1
159,18,Hall Bath Door,5,Top Casing,2,H-1x3,37.5,0.75,1
160,18,Hall Bath Door,6,Side Casing,2,H-1x3,83.25,0.75,1
161,18,Hall Bath Door,7,Side Casing,2,H-1x3,83.25,0.75,1
162,18,Hall Bath Door,8,Side Casing,2,H-1x3,83.25,0.75,1
163,18,Hall Bath Door,9,Side Casing,2,H-1x3,83.25,0.75,1
164,18,Hall Bath Door,10,Fillet,3,H-1x1/2,38.375,0.75,1
165,18,Hall Bath Door,11,Fillet,3,H-1x1/2,38.375,0.75,1

166,14,Kitchen Door 1,1,Top Jam,1,H-1x5,33.5,0.75,1
167,14,Kitchen Door 1,2,Side Jam,1,H-1x5,83.0625,0.75,1
168,14,Kitchen Door 1,3,Side Jam,1,H-1x5,83.0625,0.75,1
169,14,Kitchen Door 1,4,Top Casing,2,H-1x3,37.5,0.75,1
170,14,Kitchen Door 1,5,Top Casing,2,H-1x3,37.5,0.75,1
171,14,Kitchen Door 1,6,Side Casing,2,H-1x3,83.25,0.75,1
172,14,Kitchen Door 1,7,Side Casing,2,H-1x3,83.25,0.75,1
173,14,Kitchen Door 1,8,Side Casing,2,H-1x3,83.25,0.75,1
174,14,Kitchen Door 1,9,Side Casing,2,H-1x3,83.25,0.75,1
175,14,Kitchen Door 1,10,Fillet,3,H-1x1/2,38.375,0.75,1
176,14,Kitchen Door 1,11,Fillet,3,H-1x1/2,38.375,0.75,1
